"answer_text","category1_text","detailreal_text","qestion_text","_id"
"「指定グループ」に選択項目を表示するには、「指定単品グループマスタメンテナンス」機能で、グループの作成と、単品の登録をする必要がございます。","売上管理","🚫「指定単品実績」機能の「指定グループ」の選択項目表示

「指定グループ」を選択するには、「指定単品グループマスタメンテナンス」機能で、グループの作成と、単品の登録をする必要がございます。

💡【詳細】
- 「指定単品グループ」は、旧FOSSの「生活区分」にあたるものです
- 期間の終わりを｢2999/12/31｣等何年も後の日付で登録することで恒久的に登録することが可能です
- 上記のような設定は禁止されている設定方法ではないのでどうぞご安心して設定ください
- 一度削除されてしまった「指定単品グループ」を確認することは出来ません
- 期間設定後は期日をご確認の上削除されて確認ができないということのないよう十分にご注意ください

関連FAQ ： 「指定グループ」の作成方法
関連FAQ ： 「指定グループ」への商品の登録・追加方法","「指定単品実績」機能の「指定グループ」の選択項目表示","1621833650749x775315884784602500"
"「ターミナルGP」の選択項目を表示するには、「ターミナルGPメンテナンス」機能で、 レジターミナルGPの作成と、レジの登録をする必要がございます。","売上管理","🚫各「ターミナルGP」の選択項目が非表示

「ターミナルGP」を選択するには、「ターミナルGPメンテナンス」機能で、 レジターミナルGPの作成と、レジの登録をする必要がございます。

💡【「レジターミナルGP」に関して】
- 「レジターミナルGP」は旧FOSSの「レジグループ」にあたるものです
- 各レジ番号や各店独自で登録した｢レジターミナルGP｣を指定してその実績を表示する機能です

🆕【ターミナルGPの新規作成方法】
1. 「ターミナルGPメンテナンス」を選択します
2. 「ターミナルGP番号」を入力します
3. 「ターミナルGP名称」を入力します
4. 「F7 追加」ボタンを選択します
5. 追加したターミナルGP が表示されます※現段階では仮追加の状態となりますのでマスタの更新はされません
6. 「F6 更新」ボタンを選択します
7. 「更新してもよろしいですか？」と表示されますので「はい」ボタンを選択します
8. 「更新処理が完了しました」と表示されますので「OK」ボタンを選択します
9. 登録完了したターミナルGPが表示され完了となります

⭐【ターミナルGPへのレジの追加方法】 
登録したターミナルGP にレジの登録を行います。
1. 「ターミナルGPメンテナンス」を選択します
2. 「F3 レジ一覧」ボタンを選択します
3. 登録したターミナルGPが表示されます
4. 登録したいターミナルGPの下にレジ番号を入力します
5. 「F6 更新」ボタンを選択します
6. 「更新してもよろしいですか？」と表示されますので「はい」ボタンを押下します
7. 「正常に更新しました」と表示されます
8. 「OK」ボタンを選択します
9. 更新後のターミナルGPが表示されます
10. レジ番号が追加されている事を確認して完了です","各「ターミナルGP」の選択項目が非表示","1621833650750x127632835395940380"
"指定単品グループで登録された単品別売上実績を表示する機能です。","売上管理","📋メニューの｢指定単品実績｣機能

👉【｢指定単品実績｣とは】
｢指定単品実績｣機能は、フラッシュレポート内のメニューより選択可能です。
機能の詳細は以下になります。
指定単品グループで登録された単品別売上実績を表示します。
日別と時間帯別で売上実績をご覧いただけます。それぞれの詳細は、下記の通りです。
- 日別：当日含む過去8日間のFrom～To
- 時間帯：当日含む過去8日間の指定した一日データ

❓【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","メニューの｢指定単品実績｣機能","1621833650750x262740605616565760"
"RESクライアントの操作手順に関しましては、システムおたすけサイトの「次期POS関連」ページよりご確認いただけます。","売上管理","🔎RESクライアントの操作手順

RESクライアントの操作手順に関しましては、システムおたすけサイトの「次期POS関連」ページよりご確認いただけます。

👆【RESクライアントの操作手順の確認方法】
- システムおたすけサイトの「次期POS関連」ページに掲載されています
- 該当箇所から操作手順をご確認ください
- 以下のURLをクリックしてください

📞【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとは、RESクライアント（NCR店舗システム）に関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","RESクライアントの操作手順","1621833650750x445500211247307200"
"当月または前月の月度日数分の時間帯別売上実績を表示する機能です。","売上管理","📋メニューの｢月度 レジ･ターミナルGP（時間帯）｣機能

⏱【｢月度 レジ･ターミナルGP（時間帯）｣とは】

｢月度 レジ･ターミナルGP（時間帯）｣機能は、フラッシュレポート内のメニューより選択可能です。
機能の詳細は以下になります。

レジ番号またはターミナルGP指定で、 当月または前月の月度日数分の時間帯別売上実績を表示します。

📞【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","メニューの｢月度 レジ･ターミナルGP（時間帯）｣機能","1621833650750x646206538432492240"
"日別もしくは時間帯別で売上実績を表示する機能です。","売上管理","📋メニューの｢週間 レジ･ターミナルGP（日横･時間帯）｣機能

⏱【｢月度 レジ･ターミナルGP（日横･時間帯）｣とは】

｢月度 レジ･ターミナルGP（日横･時間帯）｣機能は、フラッシュレポート内のメニューより選択可能です。
機能の詳細は以下になります。
全レジ一覧もしくは全ターミナルGP一覧で、 日別もしくは時間帯別で売上実績を表示します。

- 日別：当日含む過去8日間のFrom～To
- 時間帯：当日含む過去8日間の指定した一日データ

❓【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","メニューの｢週間 レジ･ターミナルGP（日横･時間帯）｣機能","1621833650752x424821902897391900"
"「ターミナルGP」へのレジ登録は、登録したターミナルGPにレジの登録を行う必要がございます。

登録、更新後に「ターミナルGP」が表示、レジ番号が追加されていることを確認できれば完了です。","売上管理","💡作成した｢ターミナルGP｣にレジを登録・追加

項目をクリックして、マニュアルをご確認頂けます。

🔎【ターミナルGPへのレジの追加方法】
登録したターミナルGP にレジの登録を行います
1.  「ターミナルGPメンテナンス」を選択します
2.  「F3 レジ一覧」ボタンを選択します
3.  登録したターミナルGPが表示されます
4.  登録したいターミナルGPの下にレジ番号を入力します
5.  「F6 更新」ボタンを選択します
6.  「更新してもよろしいですか？」と表示されますので「はい」ボタンを選択します
7.  「正常に更新しました」と表示されます
8. 「OK」ボタンを選択します
9.  更新後のターミナルGPが表示されます
10.  レジ番号が追加されている事を確認して完了です

❓【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください","作成した｢ターミナルGP｣にレジを登録・追加","1621833650752x710674415435800700"
"レジでは修正ができない為、会計担当者様へ報告のうえ、 修正を行って頂くように、ご依頼ください。","精算処理","😥「両替」と間違えて「強制両替」

レジでは修正ができない為、会計担当者様へ報告のうえ修正を行って頂くようにご依頼ください。

🔄【強制両替制度とは】
- 外国の個人旅行客に対して入国時に最低200ドル（米ドル）を強制的に外貨兌換券（FEC）へ両替させる制度のこと
- 2004年までミャンマー政府が行っていました
- 主に外貨の獲得を目的としています

❗【注意】
- 金額を多く登録した際の対処方法
- 釣銭機に現金を追加で入金しない場合レジ上では現金過不足（多く登録した金額分の現金不足）が発生します
- 釣銭準備金登録を間違えて少ない金額で登録してしまった場合はレジで追加登録が可能です
- 下記の手順に従って追加登録を行ってください

👩‍🔧【担当部署】
イオンアイビス株式会社 店舗システム新規開発PT店舗システム導入展開・運用G 次期POS導入展開・運用チーム","「両替」と間違えて「強制両替」","1621833650753x400117694799127400"
"フラッシュレポートの「売上推移」、「ドリルダウン分析 期間・時間帯」で「昨対比」というのは、「同日比」となります。","売上管理","📈フラッシュレポートの「昨対比」

「売上推移」、「ドリルダウン分析 期間・時間帯」で「昨対比」というのは同日比です。

📋【その他のメニューにおける「昨対比」について】
その他のメニューに付きましても、「昨対比」と表記されている場合は「同日比」を意味しています。

📞【ご不明点がある場合】
- システムおたすけサイトより操作手順をご確認ください

❓【システムおたすけサイトとは】
- システムおたすけサイトとはフラッシュレポートに関する操作手順やよくある質問が確認できるサイトです
- システムの操作方法や分からない点がございましたら随時ご利用ください
- ご不明点に関しては「システムおたすけサイト」内のお問い合わせフォームを通してお問い合わせください","フラッシュレポートの「昨対比」","1621833650753x593064938920870900"
"データの閲覧につきましては、次期POSヘルプデスクへお問合せください。","スキャナー","🔎店舗帳票出力システム（ELF）にてデータの閲覧方法

次期POSヘルプデスク（TEL： 0120-957-246。ダイヤル後、【2】をプッシュしてください）へお問合せください。

詳細事項は下記になりますのでご注意ください。

📞【お問い合わせが可能な時間】
- 月曜日～金曜日：9時～18時
- 土日祝は営業しておりません

💡【次期POS以前の取引の、電子ジャーナルを確認する必要がある場合】
店内にEJがある場合と、ない場合でご対応方法が異なります。
- 店内にEJ-PCがある場合はEJ-PCの「電子ジャーナルシステム」でご確認ください
- EJ-PCがない場合簡易EJ-PCを使用していた店舗さまでは次期POS切り替え前の取引の電子ジャーナルは閲覧できません
- 本部さまでは「本部EJ参照アプリ」にてご確認が可能です

📋【POSデータで確認できる項目】
- 売れた商品
- 商品が売れた時間
- 商品が売れた店舗
- 売れた商品の数
- 売れた商品の値段","店舗帳票出力システム（ELF）にてデータの閲覧方法","1621833650753x722190358139982700"
